DT_LEITURA,VL_TEMP_MEDIA
2020-01-30,25.4360727
2020-01-31,24.7834000
2020-02-01,23.7849455
2020-02-02,22.6165273
2020-02-03,21.5743273
2020-02-04,22.1368545
2020-02-05,23.3142000
2020-02-06,23.0781091
2020-02-07,23.3427818
2020-02-08,24.7238182
2020-02-09,24.4146545
2020-02-10,20.7002909
2020-02-11,18.7106909
2020-02-12,18.6638545
2020-02-13,20.8767818
2020-02-14,21.4475818
2020-02-15,23.5062364
2020-02-16,24.2846545
2020-02-17,24.6562364
2020-02-18,25.4318727
2020-02-19,25.3718364
2020-02-20,25.0509636
2020-02-21,22.3926000
2020-02-22,19.6116909
2020-02-23,19.0220000
2020-02-24,21.1879273
2020-02-25,23.2596727
2020-02-26,22.5570000
2020-02-27,18.8731273
2020-02-28,18.6567455
2020-02-29,20.2053273
2020-03-01,19.6538182
2020-03-02,19.6897818
2020-03-03,18.8493091
2020-03-04,19.4621455
2020-03-05,19.8972909
2020-03-06,19.7304545
2020-03-07,20.0851273
2020-03-08,20.1409455
2020-03-09,21.6729636
2020-03-10,22.5480000
2020-03-11,22.6027273
2020-03-12,22.5680545
2020-03-13,23.0451455
2020-03-14,23.7417818
2020-03-15,24.6962909
2020-03-16,25.3177273
2020-03-17,23.8479455
2020-03-18,23.9610909
2020-03-19,24.8662545
2020-03-20,23.7622909
2020-03-21,20.5918182
2020-03-22,20.5243818
2020-03-23,20.3183273
2020-03-24,19.9521273
2020-03-25,19.7677273
2020-03-26,19.5643455
2020-03-27,20.2232182
2020-03-28,21.6453818
2020-03-29,22.4889091
2020-03-30,21.9306182
2020-03-31,21.5527273
2020-04-01,21.5412909
2020-04-02,23.6048364
2020-04-03,23.5949455
2020-04-04,20.0988545
2020-04-05,20.2621636
2020-04-06,21.5060909
2020-04-07,22.5484000
2020-04-08,18.4453818
2020-04-09,17.5108727
2020-04-10,17.6047455
2020-04-11,18.0708182
2020-04-12,18.6746727
2020-04-13,18.4869455
2020-04-14,19.2147818
2020-04-15,20.2523636
2020-04-16,20.4691455
2020-04-17,18.0927273
2020-04-18,18.0111818
2020-04-19,18.6785455
2020-04-20,18.9583091
2020-04-21,19.0659818
2020-04-22,18.8136545
2020-04-23,19.4438727
2020-04-24,20.1483455
2020-04-25,21.0843818
2020-04-26,21.0880182
2020-04-27,19.5462545
2020-04-28,19.8173273
2020-04-29,20.0015273
2020-04-30,21.0038727
2020-05-01,21.1475273
2020-05-02,20.3706545
2020-05-03,17.3434000
2020-05-04,17.2899636
2020-05-05,18.7601636
2020-05-06,20.5718545
2020-05-07,15.3103273
2020-05-08,15.1094727
2020-05-09,16.7855636
2020-05-10,16.7710182
2020-05-11,18.1166545
2020-05-12,18.9274364
2020-05-13,19.6131636
2020-05-14,19.5297091
2020-05-15,15.9425273
2020-05-16,17.2559091
2020-05-17,16.7996364
2020-05-18,16.8946727
2020-05-19,18.0893273
2020-05-20,19.1281636
2020-05-21,18.9752545
2020-05-22,20.6335636
2020-05-23,21.2730727
2020-05-24,14.2834364
2020-05-25,13.8556545
2020-05-26,14.3624909
2020-05-27,14.7039636
2020-05-28,13.6611636
2020-05-29,14.8934727
2020-05-30,16.6944000
2020-05-31,17.0703455
2020-06-01,17.9226182
2020-06-02,16.9270182
2020-06-03,17.3551455
2020-06-04,18.2337091
2020-06-05,18.9495818
2020-06-06,19.7987636
2020-06-07,21.1118909
2020-06-08,20.5285636
2020-06-09,21.0405091
2020-06-10,21.4664545
2020-06-11,22.9751818
2020-06-12,21.9742727
2020-06-13,21.5076364
2020-06-14,19.0523636
2020-06-15,16.7022000
2020-06-16,17.5936545
2020-06-17,18.4166000
2020-06-18,18.4213091
2020-06-19,19.6783636
2020-06-20,19.9106545
2020-06-21,20.6564545
2020-06-22,20.2549636
2020-06-23,19.1990727
2020-06-24,19.0601636
2020-06-25,19.9417818
2020-06-26,20.4382727
2020-06-27,15.0770364
2020-06-28,14.0879273
2020-06-29,15.2388364
2020-06-30,17.0633455
2020-07-01,19.8201818
2020-07-02,13.8888727
2020-07-03,13.2169455
2020-07-04,15.2077636
2020-07-05,17.2743636
2020-07-06,20.5711091
2020-07-07,19.9071818
2020-07-08,21.2933091
2020-07-09,20.6999091
2020-07-10,14.7160909
2020-07-11,18.6708182
2020-07-12,20.5476727
2020-07-13,21.4605636
2020-07-14,19.4023636
2020-07-15,14.6826364
2020-07-16,15.0028000
2020-07-17,17.2724909
2020-07-18,18.2480182
2020-07-19,18.2796545
2020-07-20,18.5059455
2020-07-21,18.6325273
2020-07-22,19.2232909
2020-07-23,19.6227455
2020-07-24,19.3898727
2020-07-25,20.0498909
2020-07-26,17.7905818
2020-07-27,18.6906182
2020-07-28,20.8436000
2020-07-29,18.8107818
2020-07-30,14.2788000
2020-07-31,15.7503818
2020-08-01,16.5916909
2020-08-02,16.5915636
2020-08-03,16.5763818
2020-08-04,15.9294182
2020-08-05,15.9572545
2020-08-06,16.2183273
2020-08-07,16.5203818
2020-08-08,17.1250727
2020-08-09,18.0497091
2020-08-10,18.6847091
2020-08-11,19.6962000
2020-08-12,20.1637273
2020-08-13,19.9753818
2020-08-14,21.7563455
2020-08-15,21.7595818
2020-08-16,17.8335636
2020-08-17,18.3057273
2020-08-18,17.1094909
2020-08-19,18.6647818
2020-08-20,15.9660545
2020-08-21,11.7255818
2020-08-22,10.0870364
2020-08-23,12.4033636
2020-08-24,13.8563091
2020-08-25,13.8867455
2020-08-26,13.8205818
2020-08-27,16.3452909
2020-08-28,19.0261273
2020-08-29,20.9496182
2020-08-30,22.4762909
2020-08-31,19.7591273
2020-09-01,19.5571273
2020-09-02,19.3943091
2020-09-03,20.8091636
2020-09-04,23.2490909
2020-09-05,20.3309455
2020-09-06,21.2473636
2020-09-07,21.6227091
2020-09-08,21.0646000
2020-09-09,20.7135455
2020-09-10,22.7175636
2020-09-11,24.1463273
2020-09-12,26.1887636
2020-09-13,26.0439091
2020-09-14,25.3449636
2020-09-15,18.1708727
2020-09-16,20.3200182
2020-09-17,22.5303091
2020-09-18,20.6902364
2020-09-19,23.7705273
2020-09-20,20.7416909
2020-09-21,16.0816364
2020-09-22,14.6714909
2020-09-23,16.2919636
2020-09-24,19.0064545
2020-09-25,19.6555091
2020-09-26,22.3814545
2020-09-27,25.5342364
2020-09-28,26.4523818
2020-09-29,21.8008545
2020-09-30,23.9903636
2020-10-01,24.7836545
2020-10-02,29.9311091
2020-10-03,25.9233273
2020-10-04,20.9778545
2020-10-05,23.0791636
2020-10-06,26.0264727
2020-10-07,24.6168182
2020-10-08,24.7798545
2020-10-09,19.8649636
2020-10-10,19.2350000
2020-10-11,17.1569091
2020-10-12,18.6392000
2020-10-13,21.1497091
2020-10-14,24.2818909
2020-10-15,19.1427273
2020-10-16,16.3139273
2020-10-17,16.5092909
2020-10-18,18.4002364
2020-10-19,20.5943818
2020-10-20,21.5143455
2020-10-21,20.9150182
2020-10-22,21.0440364
2020-10-23,20.9562909
2020-10-24,20.6630000
2020-10-25,21.7868364
2020-10-26,20.4074545
2020-10-27,22.1991636
2020-10-28,24.2508909
2020-10-29,24.8837818
2020-10-30,19.1801455
2020-10-31,16.4258182
2020-11-01,15.2518727
2020-11-02,14.9907455
2020-11-03,15.9468182
2020-11-04,17.0347818
2020-11-05,16.3907273
2020-11-06,17.3342364
2020-11-07,18.6342727
2020-11-08,19.4180545
2020-11-09,21.0983818
2020-11-10,21.9294000
2020-11-11,22.7736364
2020-11-12,21.1781091
2020-11-13,22.4932545
2020-11-14,22.4543091
2020-11-15,24.4195455
2020-11-16,25.1239636
2020-11-17,23.8154909
2020-11-18,18.3529273
2020-11-19,17.3639091
2020-11-20,16.6936182
2020-11-21,17.9883818
2020-11-22,19.0951636
2020-11-23,19.8937636
2020-11-24,21.2491091
2020-11-25,22.7125636
2020-11-26,25.0848364
2020-11-27,23.6699455
2020-11-28,23.6048364
2020-11-29,24.3436909
2020-11-30,25.4034000
2020-12-01,23.1142727
2020-12-02,22.5387455
2020-12-03,24.2951818
2020-12-04,24.4802909
2020-12-05,22.3370364
2020-12-06,20.5327273
2020-12-07,20.9293818
2020-12-08,22.4727091
2020-12-09,21.8602727
2020-12-10,21.5479636
2020-12-11,22.2595818
2020-12-12,22.6186909
2020-12-13,24.0126364
2020-12-14,23.9984000
2020-12-15,25.0932182
2020-12-16,23.5539818
2020-12-17,23.4232364
2020-12-18,23.5289273
2020-12-19,24.1673273
2020-12-20,25.5246182
2020-12-21,25.2639091
2020-12-22,22.1448545
2020-12-23,20.2530182
2020-12-24,20.5629636
2020-12-25,19.4141273
2020-12-26,19.7459091
2020-12-27,20.9115273
2020-12-28,21.8879636
2020-12-29,22.6024909
2020-12-30,22.8974727
2020-12-31,24.6915818
2021-01-01,22.1031273
2021-01-02,21.3256182
2021-01-03,20.9659455
2021-01-04,21.8698545
2021-01-05,23.3953455
2021-01-06,25.6305636
2021-01-07,25.0343818
2021-01-08,23.5830182
2021-01-09,23.4562000
2021-01-10,23.8527455
2021-01-11,24.1228545
2021-01-12,24.9681091
2021-01-13,24.1585455
2021-01-14,23.7470000
2021-01-15,22.5829818
2021-01-16,22.4957455
2021-01-17,24.9170909
2021-01-18,25.0087273
2021-01-19,23.8552727
2021-01-20,23.8057091
2021-01-21,23.6606545
2021-01-22,23.7089273
2021-01-23,23.7449091
2021-01-24,23.1786727
2021-01-25,23.9555455
2021-01-26,22.6607273
2021-01-27,25.1529818
2021-01-28,25.4909818
2021-01-29,25.2038364
2021-01-30,26.4753636
2021-01-31,26.5412182
2021-02-01,25.9388909
2021-02-02,25.1151091
2021-02-03,24.2913091
2021-02-04,25.5534909
2021-02-05,24.7069818
2021-02-06,21.6321818
2021-02-07,20.5960727
2021-02-08,20.3125455
2021-02-09,20.3927818
2021-02-10,21.4441636
2021-02-11,21.5360182
2021-02-12,20.6201273
2021-02-13,21.0206727
2021-02-14,22.2127273
2021-02-15,24.1143636
2021-02-16,23.4657818
2021-02-17,23.0961091
2021-02-18,22.2187091
2021-02-19,22.7805818
2021-02-20,23.1346727
2021-02-21,23.0008364
2021-02-22,22.9760000
2021-02-23,23.3222364
2021-02-24,25.2581455
2021-02-25,21.4857636
2021-02-26,20.8994909
2021-02-27,21.4621818
2021-02-28,21.7060364
2021-03-01,22.9209091
2021-03-02,23.5121455
2021-03-03,24.4851455
2021-03-04,23.9787273
2021-03-05,22.4198545
